name,source
FBtr0005088.1,protein_coding
FBtr0006151.1,protein_coding
FBtr0070000.1,protein_coding
FBtr0070001.1,tRNA
FBtr0070002.1,protein_coding
FBtr0070003.1,protein_coding
FBtr0070006.1,protein_coding
FBtr0070007.1,protein_coding
FBtr0070008.1,protein_coding
FBtr0070025.1,protein_coding
FBtr0070026.1,protein_coding
FBtr0070027.1,protein_coding
FBtr0070028.1,protein_coding
FBtr0070029.1,protein_coding
FBtr0070032.1,protein_coding
FBtr0070034.1,protein_coding
FBtr0070035.1,protein_coding
FBtr0070036.1,protein_coding
FBtr0070038.1,protein_coding
FBtr0070040.1,protein_coding
FBtr0070041.1,protein_coding
FBtr0070042.1,protein_coding
FBtr0070043.1,protein_coding
FBtr0070044.1,protein_coding
FBtr0070045.1,protein_coding
FBtr0070046.1,protein_coding
FBtr0070050.1,protein_coding
FBtr0070051.1,protein_coding
FBtr0070052.1,protein_coding
FBtr0070053.1,protein_coding
FBtr0070054.1,protein_coding
FBtr0070055.1,protein_coding
FBtr0070056.1,protein_coding
FBtr0070057.1,protein_coding
FBtr0070058.1,protein_coding
FBtr0070059.1,protein_coding
FBtr0070060.1,protein_coding
FBtr0070061.1,protein_coding
FBtr0070062.1,protein_coding
FBtr0070063.1,protein_coding
FBtr0070064.1,protein_coding
FBtr0070065.1,protein_coding
FBtr0070066.1,protein_coding
FBtr0070067.1,protein_coding
FBtr0070068.1,protein_coding
FBtr0070069.1,protein_coding
FBtr0070070.1,protein_coding
FBtr0070071.1,protein_coding
FBtr0070072.1,protein_coding
FBtr0070073.1,protein_coding
FBtr0070074.1,protein_coding
FBtr0070075.1,protein_coding
FBtr0070076.1,protein_coding
FBtr0070077.1,protein_coding
FBtr0070078.1,protein_coding
FBtr0070079.1,protein_coding
FBtr0070080.1,protein_coding
FBtr0070081.1,protein_coding
FBtr0070084.1,protein_coding
FBtr0070085.1,protein_coding
FBtr0070086.1,protein_coding
FBtr0070087.1,protein_coding
FBtr0070088.1,protein_coding
FBtr0070089.1,protein_coding
FBtr0070090.1,protein_coding
FBtr0070091.1,protein_coding
FBtr0070092.1,protein_coding
FBtr0070093.1,protein_coding
FBtr0070094.1,protein_coding
FBtr0070095.1,pseudogene
FBtr0070097.1,pseudogene
FBtr0070098.1,protein_coding
FBtr0070099.1,protein_coding
FBtr0070100.1,protein_coding
FBtr0070101.1,protein_coding
FBtr0070102.1,protein_coding
FBtr0070103.1,protein_coding
FBtr0070106.1,protein_coding
FBtr0070107.1,protein_coding
FBtr0070108.1,protein_coding
FBtr0070109.1,protein_coding
FBtr0070110.1,protein_coding
FBtr0070115.1,protein_coding
FBtr0070116.1,protein_coding
FBtr0070117.1,protein_coding
FBtr0070118.1,protein_coding
FBtr0070119.1,protein_coding
FBtr0070120.1,protein_coding
FBtr0070121.1,protein_coding
FBtr0070122.1,protein_coding
FBtr0070123.1,protein_coding
FBtr0070124.1,protein_coding
FBtr0070125.1,protein_coding
FBtr0070126.1,protein_coding
FBtr0070127.1,protein_coding
FBtr0070128.1,protein_coding
FBtr0070129.1,protein_coding
